candidate_id,restaurant_id,restaurant_name,candidate_type,display_name,category,price,rating,area,embed_text
item_1,127,Al Rehman Tikka Shop,menu_item,Beef Hara Bhara Kabab,BBQ & Grill,850.0,4.7,Lahore,Beef Hara Bhara Kabab . BBQ & Grill . Single serving . at Al Rehman Tikka Shop . in Lahore
item_2,127,Al Rehman Tikka Shop,menu_item,Beef Kabab,BBQ & Grill,400.0,4.7,Lahore,Beef Kabab . BBQ & Grill . Tender beef chunks marinated in aromatic spices and grilled to perfection over charcoal A single serving of authentic Bar BQ beef kabab served with fresh onions and lemon . at Al Rehman Tikka Shop . in Lahore
item_3,127,Al Rehman Tikka Shop,menu_item,Chicken Cheese Hara Bhara Kabab,BBQ & Grill,900.0,4.7,Lahore,Chicken Cheese Hara Bhara Kabab . BBQ & Grill . Single serving . at Al Rehman Tikka Shop . in Lahore
item_4,127,Al Rehman Tikka Shop,menu_item,Chicken Kabab,BBQ & Grill,400.0,4.7,Lahore,"Chicken Kabab . BBQ & Grill . Single serving. Minced chicken boneless, made into small patty-like shape, crispy & tender . at Al Rehman Tikka Shop . in Lahore"
item_5,127,Al Rehman Tikka Shop,menu_item,Chicken Leg Piece,BBQ & Grill,360.0,4.7,Lahore,Chicken Leg Piece . BBQ & Grill . Single serving . at Al Rehman Tikka Shop . in Lahore
item_6,127,Al Rehman Tikka Shop,menu_item,Chicken Malai Boti,BBQ & Grill,450.0,4.7,Lahore,Chicken Malai Boti . BBQ & Grill . Single serving. Creamy smoky BBQ chicken that will melt in your mouth . at Al Rehman Tikka Shop . in Lahore
item_7,127,Al Rehman Tikka Shop,menu_item,Chicken Tikka Boti,BBQ & Grill,350.0,4.7,Lahore,Chicken Tikka Boti . BBQ & Grill . Single serving. Chicken baked using skewers after marinating in  spices and yogurt . at Al Rehman Tikka Shop . in Lahore
item_8,127,Al Rehman Tikka Shop,menu_item,Nablet,BBQ & Grill,450.0,4.7,Lahore,Nablet . BBQ & Grill . Choose Serving Size . at Al Rehman Tikka Shop . in Lahore
item_9,127,Al Rehman Tikka Shop,menu_item,Coca-Cola Can - 250 ml,Beverages,120.0,4.7,Lahore,Coca-Cola Can - 250 ml . Beverages . The best combination for all food choices. . at Al Rehman Tikka Shop . in Lahore
item_10,127,Al Rehman Tikka Shop,menu_item,Coke Can - 250 Ml,Beverages,125.0,4.7,Lahore,Coke Can - 250 Ml . Beverages . The best combination for all food choices . at Al Rehman Tikka Shop . in Lahore
item_11,127,Al Rehman Tikka Shop,menu_item,Mineral Water 1.5 Litre,Beverages,150.0,4.7,Lahore,"Mineral Water 1.5 Litre . Beverages . Fresh, soothing water to replenish you throughout the day . at Al Rehman Tikka Shop . in Lahore"
item_12,127,Al Rehman Tikka Shop,menu_item,Sprite 1 Liter,Beverages,125.0,4.7,Lahore,Sprite 1 Liter . Beverages . The perfect carbonated experience . at Al Rehman Tikka Shop . in Lahore
item_13,127,Al Rehman Tikka Shop,menu_item,Degi Chargha,BBQ & Grill,499.0,4.7,Lahore,Degi Chargha . BBQ & Grill . Single serving . at Al Rehman Tikka Shop . in Lahore
item_14,127,Al Rehman Tikka Shop,menu_item,Special Offer Deal,Deals & Combos,1445.0,4.7,Lahore,"Special Offer Deal . Deals & Combos . Special mixed platter. Quarter tikka boti, quarter malai boti, 3 chicken kabab, 3 beef kabab, leg piece, 2 roghni naan & 500ml soft drink . at Al Rehman Tikka Shop . in Lahore"
item_15,127,Al Rehman Tikka Shop,menu_item,Two Person Deal,Deals & Combos,1300.5,4.7,Lahore,"Two Person Deal . Deals & Combos . Half Chicken Karahi with 4 roti, raita and drink . at Al Rehman Tikka Shop . in Lahore"
item_16,127,Al Rehman Tikka Shop,menu_item,Chicken Achari Karahi,BBQ & Grill,1000.0,4.7,Lahore,Chicken Achari Karahi . BBQ & Grill . Single serving . at Al Rehman Tikka Shop . in Lahore
item_17,127,Al Rehman Tikka Shop,menu_item,Chicken Black Pepper Karahi,BBQ & Grill,950.0,4.7,Lahore,Chicken Black Pepper Karahi . BBQ & Grill . Single serving . at Al Rehman Tikka Shop . in Lahore
item_18,127,Al Rehman Tikka Shop,menu_item,Chicken Karahi,BBQ & Grill,899.0,4.7,Lahore,Chicken Karahi . BBQ & Grill . Single serving. Homestyle chicken curry with fragrant spices and fresh ginger . at Al Rehman Tikka Shop . in Lahore
item_19,127,Al Rehman Tikka Shop,menu_item,Chicken Makhni Karahi,BBQ & Grill,1000.0,4.7,Lahore,Chicken Makhni Karahi . BBQ & Grill . Single serving . at Al Rehman Tikka Shop . in Lahore
item_20,127,Al Rehman Tikka Shop,menu_item,Chicken Tikka Karahi,BBQ & Grill,1000.0,4.7,Lahore,Chicken Tikka Karahi . BBQ & Grill . Single serving . at Al Rehman Tikka Shop . in Lahore
item_21,127,Al Rehman Tikka Shop,menu_item,Chicken White Karahi,BBQ & Grill,1099.0,4.7,Lahore,Chicken White Karahi . BBQ & Grill . Single serving . at Al Rehman Tikka Shop . in Lahore
item_22,127,Al Rehman Tikka Shop,menu_item,Special Beef Boneless Karahi,BBQ & Grill,1200.0,4.7,Lahore,Special Beef Boneless Karahi . BBQ & Grill . Single serving . at Al Rehman Tikka Shop . in Lahore
item_23,127,Al Rehman Tikka Shop,menu_item,Special Mutton Karahi,BBQ & Grill,1999.0,4.7,Lahore,Special Mutton Karahi . BBQ & Grill . Single serving . at Al Rehman Tikka Shop . in Lahore
item_24,127,Al Rehman Tikka Shop,menu_item,Beef Kabab Masala,Other,900.0,4.7,Lahore,"Beef Kabab Masala . Other . Juicy, spiced beef kebabs cooked with rich masala. . at Al Rehman Tikka Shop . in Lahore"
item_25,127,Al Rehman Tikka Shop,menu_item,Chicken Kabab Masala,Other,1000.0,4.7,Lahore,Chicken Kabab Masala . Other . Flavorful kababs made with a rich masala coating. . at Al Rehman Tikka Shop . in Lahore
item_26,127,Al Rehman Tikka Shop,menu_item,Chicken Tawa Piece,Other,700.0,4.7,Lahore,Chicken Tawa Piece . Other . Tender chicken piece cooked on a traditional tawa with aromatic spices and served hot as a single serving portion . at Al Rehman Tikka Shop . in Lahore
item_27,127,Al Rehman Tikka Shop,menu_item,Khubani Chutney,Sides & Appetizers,40.0,4.7,Lahore,Khubani Chutney . Sides & Appetizers . Single Serving . at Al Rehman Tikka Shop . in Lahore
item_28,127,Al Rehman Tikka Shop,menu_item,Raita,Sides & Appetizers,70.0,4.7,Lahore,Raita . Sides & Appetizers . Yoghurt infused with multiple spices to go with your desi meals . at Al Rehman Tikka Shop . in Lahore
item_29,127,Al Rehman Tikka Shop,menu_item,Salad,Sides & Appetizers,70.0,4.7,Lahore,Salad . Sides & Appetizers . Well-seasoned cut up crunchy vegetables as a refreshing side . at Al Rehman Tikka Shop . in Lahore
item_30,127,Al Rehman Tikka Shop,menu_item,Deal 1 (One-Person BBQ Deal),Deals & Combos,499.2,4.7,Lahore,"Deal 1 (One-Person BBQ Deal) . Deals & Combos . 1x Leg or Chest Piece 
1x Raita 
1x Salad 
2x Roti 
1x Drink . at Al Rehman Tikka Shop . in Lahore"
item_31,127,Al Rehman Tikka Shop,menu_item,Deal 2 (BBQ Kabab Feast),Deals & Combos,599.2,4.7,Lahore,"Deal 2 (BBQ Kabab Feast) . Deals & Combos . 4x Chicken Kabab
1x Afghani Naan 
1x Raita 
1x Salad 
1x Drink . at Al Rehman Tikka Shop . in Lahore"
item_32,127,Al Rehman Tikka Shop,menu_item,Deal 3 (BBQ Tikka Combo),Deals & Combos,499.2,4.7,Lahore,"Deal 3 (BBQ Tikka Combo) . Deals & Combos . 1x Seekh Chicken Tikka Boti 
2x Naan
1x Raita 
1x Drink . at Al Rehman Tikka Shop . in Lahore"
item_33,127,Al Rehman Tikka Shop,menu_item,Deal 4 (BBQ Malai Combo),Deals & Combos,599.2,4.7,Lahore,"Deal 4 (BBQ Malai Combo) . Deals & Combos . 1x Malai Boti 
2x Naan
1x Raita 
1x Salad 
1x Drink . at Al Rehman Tikka Shop . in Lahore"
item_34,127,Al Rehman Tikka Shop,menu_item,Beef Naan,BBQ & Grill,400.0,4.7,Lahore,Beef Naan . BBQ & Grill . Single Serving . at Al Rehman Tikka Shop . in Lahore
item_35,127,Al Rehman Tikka Shop,menu_item,Chicken Naan,BBQ & Grill,400.0,4.7,Lahore,Chicken Naan . BBQ & Grill . Single Serving . at Al Rehman Tikka Shop . in Lahore
item_36,127,Al Rehman Tikka Shop,menu_item,Garlic Naan,BBQ & Grill,90.0,4.7,Lahore,Garlic Naan . BBQ & Grill . Single Serving . at Al Rehman Tikka Shop . in Lahore
item_37,127,Al Rehman Tikka Shop,menu_item,Kulcha Naan,BBQ & Grill,70.0,4.7,Lahore,Kulcha Naan . BBQ & Grill . Single Serving . at Al Rehman Tikka Shop . in Lahore
item_38,127,Al Rehman Tikka Shop,menu_item,Kulwangi Naan,BBQ & Grill,90.0,4.7,Lahore,Kulwangi Naan . BBQ & Grill . Single Serving . at Al Rehman Tikka Shop . in Lahore
item_39,127,Al Rehman Tikka Shop,menu_item,Rohgni Naan,BBQ & Grill,120.0,4.7,Lahore,Rohgni Naan . BBQ & Grill . Flatbread baked in the oven until golden and crisped on the outside . at Al Rehman Tikka Shop . in Lahore
item_40,127,Al Rehman Tikka Shop,menu_item,Sada Naan,BBQ & Grill,50.0,4.7,Lahore,Sada Naan . BBQ & Grill . Straight out of tandoor fresh and fluffy . at Al Rehman Tikka Shop . in Lahore
item_41,127,Al Rehman Tikka Shop,menu_item,Sada Roti,BBQ & Grill,35.0,4.7,Lahore,Sada Roti . BBQ & Grill . The desi way to eat everything desi . at Al Rehman Tikka Shop . in Lahore
item_42,128,BBQ Master - Branch 1,menu_item,Fizz Up Lemon,Add-ons & Condiments,85.0,0.0,Lahore,Fizz Up Lemon . Add-ons & Condiments . A refreshing lemon fizz add-on that brings a zesty citrus burst to your beverage with bright tangy notes and effervescent bubbles . at BBQ Master - Branch 1 . in Lahore
item_43,128,BBQ Master - Branch 1,menu_item,Mint Raita,Add-ons & Condiments,170.0,0.0,Lahore,Mint Raita . Add-ons & Condiments . Traditional South Asian style mint yogurt condiment featuring a refreshing and aromatic flavor. . at BBQ Master - Branch 1 . in Lahore
item_44,128,BBQ Master - Branch 1,menu_item,Next Cola,Add-ons & Condiments,85.0,0.0,Lahore,Next Cola . Add-ons & Condiments . Refreshing Next Cola served ice-cold to complement your meal perfectly . at BBQ Master - Branch 1 . in Lahore
item_45,128,BBQ Master - Branch 1,menu_item,Puri Paratha,Add-ons & Condiments,59.5,0.0,Lahore,Puri Paratha . Add-ons & Condiments . South Asian style pan fried flatbread featuring a flaky texture and comforting savory flavor. . at BBQ Master - Branch 1 . in Lahore
item_46,128,BBQ Master - Branch 1,menu_item,Roghni Naan,Add-ons & Condiments,102.0,0.0,Lahore,Roghni Naan . Add-ons & Condiments . Soft and fluffy naan bread brushed generously with ghee and sesame seeds for a rich buttery flavor and aromatic finish . at BBQ Master - Branch 1 . in Lahore
item_47,128,BBQ Master - Branch 1,menu_item,Sada Naan,Add-ons & Condiments,42.5,0.0,Lahore,Sada Naan . Add-ons & Condiments . Soft and fluffy traditional naan bread freshly baked in a tandoor oven. Perfect complement to any curry or meal with its warm pillowy texture and subtle charred edges . at BBQ Master - Branch 1 . in Lahore
item_48,128,BBQ Master - Branch 1,menu_item,Tandoori Roti,Add-ons & Condiments,34.0,0.0,Lahore,Tandoori Roti . Add-ons & Condiments . Soft and fluffy tandoori roti freshly baked in a traditional clay oven with a light char and smoky flavor. Perfect complement to any curry or main dish. . at BBQ Master - Branch 1 . in Lahore
item_49,128,BBQ Master - Branch 1,menu_item,Chicken Cheese Boti,BBQ & Grill,765.0,0.0,Lahore,Chicken Cheese Boti . BBQ & Grill . Succulent chunks of tender chicken marinated in aromatic spices and grilled to perfection with melted cheese. A smoky delight. . at BBQ Master - Branch 1 . in Lahore
item_50,128,BBQ Master - Branch 1,menu_item,Chicken Gola Kabab,BBQ & Grill,701.25,0.0,Lahore,Chicken Gola Kabab . BBQ & Grill . Tender chicken minced and marinated in traditional aromatic spices and grilled to perfection on skewers. Juicy succulent and infused with traditional flavors. . at BBQ Master - Branch 1 . in Lahore
item_51,128,BBQ Master - Branch 1,menu_item,Chicken Malai Boti,BBQ & Grill,680.0,0.0,Lahore,Chicken Malai Boti . BBQ & Grill . Tender chicken pieces marinated in a rich blend of cream yogurt and aromatic spices then grilled to perfection over charcoal A classic favorite with a smoky flavor and succulent texture . at BBQ Master - Branch 1 . in Lahore
item_52,128,BBQ Master - Branch 1,menu_item,Chicken Reshmi Kabab,BBQ & Grill,701.25,0.0,Lahore,Chicken Reshmi Kabab . BBQ & Grill . Tender and juicy chicken mince blended with aromatic spices and fresh herbs grilled to perfection on skewers. . at BBQ Master - Branch 1 . in Lahore
item_53,128,BBQ Master - Branch 1,menu_item,Chicken Seekh Kabaab,BBQ & Grill,637.5,0.0,Lahore,Chicken Seekh Kabaab . BBQ & Grill . Succulent minced chicken blended with aromatic spices and fresh herbs grilled on skewers until golden and smoky . at BBQ Master - Branch 1 . in Lahore
item_54,128,BBQ Master - Branch 1,menu_item,Chicken Tikka Boti,BBQ & Grill,616.25,0.0,Lahore,Chicken Tikka Boti . BBQ & Grill . Succulent chicken tikka boti marinated in aromatic spices and yogurt then grilled to perfection over charcoal. . at BBQ Master - Branch 1 . in Lahore
item_55,128,BBQ Master - Branch 1,menu_item,Chicken Tikka Breast Piece,BBQ & Grill,552.5,0.0,Lahore,Chicken Tikka Breast Piece . BBQ & Grill . Grilled South Asian style chicken breast featuring a savory and aromatic flavor. . at BBQ Master - Branch 1 . in Lahore
item_56,128,BBQ Master - Branch 1,menu_item,Chicken Tikka Leg Piece,BBQ & Grill,510.0,0.0,Lahore,Chicken Tikka Leg Piece . BBQ & Grill . Grilled South Asian style chicken featuring a savory and aromatic flavor. . at BBQ Master - Branch 1 . in Lahore
item_57,128,BBQ Master - Branch 1,menu_item,Chicken Chutni Roll,Shawarma & Wraps,467.5,0.0,Lahore,Chicken Chutni Roll . Shawarma & Wraps . Tender chicken tikka chunks infused with savory and tangy flavors wrapped in soft pori paratha for an authentic Pakistani experience . at BBQ Master - Branch 1 . in Lahore
item_58,128,BBQ Master - Branch 1,menu_item,Chicken Kabab Roll,Shawarma & Wraps,467.5,0.0,Lahore,Chicken Kabab Roll . Shawarma & Wraps . Tender chicken seekh kabab with savory and aromatic flavors wrapped in crispy pori paratha for an authentic South Asian experience . at BBQ Master - Branch 1 . in Lahore
item_59,128,BBQ Master - Branch 1,menu_item,Chicken Malai Boti Roll,Shawarma & Wraps,488.75,0.0,Lahore,Chicken Malai Boti Roll . Shawarma & Wraps . Tender chicken malai boti pieces charred to perfection with rich aromatic flavors wrapped in soft pori paratha for an authentic South Asian experience . at BBQ Master - Branch 1 . in Lahore
item_60,129,BBQ Master - Branch 2,menu_item,Mint Raita,Add-ons & Condiments,170.0,0.0,Lahore,Mint Raita . Add-ons & Condiments . Traditional South Asian style yogurt condiment featuring a refreshing and aromatic flavor. . at BBQ Master - Branch 2 . in Lahore
item_61,129,BBQ Master - Branch 2,menu_item,Puri Paratha,Add-ons & Condiments,59.5,0.0,Lahore,Puri Paratha . Add-ons & Condiments . Golden fried puri paratha with layers of flaky dough fried until crispy and light Perfect accompaniment to any curry or gravy dish . at BBQ Master - Branch 2 . in Lahore
item_62,129,BBQ Master - Branch 2,menu_item,Sada Naan,Add-ons & Condiments,42.5,0.0,Lahore,Sada Naan . Add-ons & Condiments . Traditional soft and fluffy naan bread baked fresh in a tandoor oven with a light brushing of ghee. Perfect complement to any curry or meal . at BBQ Master - Branch 2 . in Lahore
item_63,129,BBQ Master - Branch 2,menu_item,Tandoori Roti,Add-ons & Condiments,34.0,0.0,Lahore,Tandoori Roti . Add-ons & Condiments . Freshly baked tandoori roti with a smoky charred finish and soft texture. Perfect complement to any curry or main dish . at BBQ Master - Branch 2 . in Lahore
