item_id,restaurant_id,item_name,category,raw_category,price,currency,description,variations,variation_min_price,variation_max_price,is_available
1,127,Beef Hara Bhara Kabab,BBQ & Grill,Bar BQ,850.0,PKR,Single serving,Half: 850.0; Full: 1700.0,850.0,1700.0,True
2,127,Beef Kabab,BBQ & Grill,Bar BQ,400.0,PKR,Tender beef chunks marinated in aromatic spices and grilled to perfection over charcoal A single serving of authentic Bar BQ beef kabab served with fresh onions and lemon,Half: 800.0; Full: 1600.0; Quarter: 400.0,400.0,1600.0,True
3,127,Chicken Cheese Hara Bhara Kabab,BBQ & Grill,Bar BQ,900.0,PKR,Single serving,Half: 900.0; Full: 1800.0,900.0,1800.0,True
4,127,Chicken Kabab,BBQ & Grill,Bar BQ,400.0,PKR,"Single serving. Minced chicken boneless, made into small patty-like shape, crispy & tender",Quarter: 400.0; Half: 800.0; Full: 1600.0,400.0,1600.0,True
5,127,Chicken Leg Piece,BBQ & Grill,Bar BQ,360.0,PKR,Single serving,,,,True
6,127,Chicken Malai Boti,BBQ & Grill,Bar BQ,450.0,PKR,Single serving. Creamy smoky BBQ chicken that will melt in your mouth,Quarter: 450.0; Half: 900.0; Full: 1800.0,450.0,1800.0,True
7,127,Chicken Tikka Boti,BBQ & Grill,Bar BQ,350.0,PKR,Single serving. Chicken baked using skewers after marinating in  spices and yogurt,Quarter: 350.0; Half: 699.0; Full: 1400.0,350.0,1400.0,True
8,127,Nablet,BBQ & Grill,Bar BQ,450.0,PKR,Choose Serving Size,Quarter: 450.0; Half: 900.0; Full: 1800.0,450.0,1800.0,True
9,127,Coca-Cola Can - 250 ml,Beverages,Beverages,120.0,PKR,The best combination for all food choices.,Coke Half Ltr: 120.0; Coke 1.5 Ltr: 200.0,1.5,200.0,True
10,127,Coke Can - 250 Ml,Beverages,Beverages,125.0,PKR,The best combination for all food choices,Coke Half Ltr: 125.0; Coke 1.5 Ltr: 250.0,1.5,250.0,True
11,127,Mineral Water 1.5 Litre,Beverages,Beverages,150.0,PKR,"Fresh, soothing water to replenish you throughout the day",,,,True
12,127,Sprite 1 Liter,Beverages,Beverages,125.0,PKR,The perfect carbonated experience,Sprit 1.5 Ltr: 250.0; Sprit Half Ltr: 125.0,1.5,250.0,True
13,127,Degi Chargha,BBQ & Grill,Chargha,499.0,PKR,Single serving,Quarter: 499.0; Half: 700.0; Full: 1400.0,499.0,1400.0,True
14,127,Special Offer Deal,Deals & Combos,Exclusive Discounted Deals,1445.0,PKR,"Special mixed platter. Quarter tikka boti, quarter malai boti, 3 chicken kabab, 3 beef kabab, leg piece, 2 roghni naan & 500ml soft drink",,,,True
15,127,Two Person Deal,Deals & Combos,Exclusive Discounted Deals,1300.5,PKR,"Half Chicken Karahi with 4 roti, raita and drink",,,,True
16,127,Chicken Achari Karahi,BBQ & Grill,Karahi,1000.0,PKR,Single serving,Half: 1000.0; Full: 1800.0,1000.0,1800.0,True
17,127,Chicken Black Pepper Karahi,BBQ & Grill,Karahi,950.0,PKR,Single serving,Half: 950.0; Full: 1800.0,950.0,1800.0,True
18,127,Chicken Karahi,BBQ & Grill,Karahi,899.0,PKR,Single serving. Homestyle chicken curry with fragrant spices and fresh ginger,Half: 899.0; Full: 1600.0,899.0,1600.0,True
19,127,Chicken Makhni Karahi,BBQ & Grill,Karahi,1000.0,PKR,Single serving,Half: 1000.0; Full: 2000.0,1000.0,2000.0,True
20,127,Chicken Tikka Karahi,BBQ & Grill,Karahi,1000.0,PKR,Single serving,Half: 1000.0; Full: 1900.0,1000.0,1900.0,True
21,127,Chicken White Karahi,BBQ & Grill,Karahi,1099.0,PKR,Single serving,Half: 1099.0; Full: 2200.0,1099.0,2200.0,True
22,127,Special Beef Boneless Karahi,BBQ & Grill,Karahi,1200.0,PKR,Single serving,Half: 1200.0; Full: 2400.0,1200.0,2400.0,True
23,127,Special Mutton Karahi,BBQ & Grill,Karahi,1999.0,PKR,Single serving,Half: 1999.0; Full: 3999.0,1999.0,3999.0,True
24,127,Beef Kabab Masala,Other,Mains,900.0,PKR,"Juicy, spiced beef kebabs cooked with rich masala.",,,,True
25,127,Chicken Kabab Masala,Other,Mains,1000.0,PKR,Flavorful kababs made with a rich masala coating.,,,,True
