restaurant_id,name,area,cuisine,price_band,rating,review_count,source,source_table,address,restaurant_url,has_menu_data
1,Burger O'Clock,DHA,Food,,4.7,2377,lahore_fast_food_dha,restaurants_clean,,,True
2,Flavor Cartel,DHA,Food,,5.0,32,lahore_fast_food_dha,restaurants_clean,,,False
3,Johnny & Jugnu - Phase 4,DHA,Food,,4.4,11161,lahore_fast_food_dha,restaurants_clean,,,True
4,Brim Burgers ( DHA Phase 6 Raya),DHA,Food,,4.7,2222,lahore_fast_food_dha,restaurants_clean,,,False
5,FOUR Restaurant,DHA,Food,,4.6,5258,lahore_fast_food_dha,restaurants_clean,,,False
6,Cheezious - DHA Phase 4,DHA,Food,,4.6,5268,lahore_fast_food_dha,restaurants_clean,,,False
7,Brim Burgers ( DHA Phase 4 FF),DHA,Food,,4.4,576,lahore_fast_food_dha,restaurants_clean,,,False
8,Grub Shack,DHA,Food,,4.5,97,lahore_fast_food_dha,restaurants_clean,,,False
9,SMASH - DHA Phase 6,DHA,Food,,4.0,475,lahore_fast_food_dha,restaurants_clean,,,False
10,SMASH - DHA Phase 2,DHA,Food,,4.2,1020,lahore_fast_food_dha,restaurants_clean,,,True
11,SALT Z PHASE3 DHA LHR,DHA,Cafe,,4.1,317,lahore_fast_food_dha,restaurants_clean,,,False
12,Uncle Dave Hot Chicken,DHA,Food,,4.4,190,lahore_fast_food_dha,restaurants_clean,,,False
13,Magnet Burgers,DHA,Food,,5.0,54,lahore_fast_food_dha,restaurants_clean,,,False
14,MUSTRD,DHA,Food,,4.0,228,lahore_fast_food_dha,restaurants_clean,,,False
15,HungerFuel,DHA,Food,,4.7,506,lahore_fast_food_dha,restaurants_clean,,,False
16,BRGR - Fairways DHA,DHA,Food,,4.6,522,lahore_fast_food_dha,restaurants_clean,,,False
17,Chicago street,DHA,Food,,4.1,524,lahore_fast_food_dha,restaurants_clean,,,False
18,BonBird Dolmen Mall Lahore,DHA,Food,,3.9,591,lahore_fast_food_dha,restaurants_clean,,,False
19,Lahore Broast - DHA,DHA,Broast,,4.1,3000,foodpanda_lahore,restaurants_clean,,,False
20,Butt Sweets & Bakers - DHA,DHA,Cakes & Bakery,,3.9,100,foodpanda_lahore,restaurants_clean,,,False
21,Jalal Sons - G Block DHA,DHA,Fast Food,,4.1,100,foodpanda_lahore,restaurants_clean,,,False
22,Bait-Ul-Shawarma - DHA H Block,DHA,Middle Eastern,,4.1,4000,foodpanda_lahore,restaurants_clean,,,False
23,The Halal Boys- DHA,DHA,Fast Food,,4.2,100,foodpanda_lahore,restaurants_clean,,,False
24,Simply Sufi XPRS - DHA Phase 1,DHA,Fast Food,,4.2,500,foodpanda_lahore,restaurants_clean,,,False
25,Yousaf Falooda - Dha,DHA,Ice Cream,,4.2,500,foodpanda_lahore,restaurants_clean,,,False
26,Red Apple - DHA Phase 1,DHA,Fast Food,,4.3,100,foodpanda_lahore,restaurants_clean,,,False
27,Pizza Time - Dha,DHA,Pizza,,4.1,1000,foodpanda_lahore,restaurants_clean,,,False
28,Balochi Dera - DHA,DHA,Pakistani,,4.1,100,foodpanda_lahore,restaurants_clean,,,False
29,Bar.B.Q. HUB - H Block DHA,DHA,Pakistani,,4.3,500,foodpanda_lahore,restaurants_clean,,,False
30,Dumplings by Sai’s Pantry (DHA),DHA,Chinese,,3.8,100,foodpanda_lahore,restaurants_clean,,,False
31,BNB Club-DHA,DHA,Fast Food,,4.3,34,foodpanda_lahore,restaurants_clean,,,False
32,Tandoor Restaurant- DHA,DHA,Pakistani,,4.3,1000,foodpanda_lahore,restaurants_clean,,,False
33,Butt Karahi - DHA,DHA,Pakistani,,4.0,100,foodpanda_lahore,restaurants_clean,,,False
34,La Downtown - DHA,DHA,Pasta,,4.0,4000,foodpanda_lahore,restaurants_clean,,,False
35,"Health""n""Goodness - Dha",DHA,Healthy Food,,4.5,65,foodpanda_lahore,restaurants_clean,,,False
36,Biryani Express - DHA,DHA,Pasta,,4.1,5000,foodpanda_lahore,restaurants_clean,,,False
37,Kunafa Inn - DHA Phase 1,DHA,Desserts,,3.9,100,foodpanda_lahore,restaurants_clean,,,False
38,Al Beirut Lebanese Cuisine - DHA,DHA,21205 min,,4.5,100,foodpanda_lahore,restaurants_clean,,,False
39,Baskin Robbins - DHA,DHA,Ice Cream,,4.2,1000,foodpanda_lahore,restaurants_clean,,,False
40,Bundu Khan Restaurant - DHA Z Block,DHA,Pakistani,,4.3,2000,foodpanda_lahore,restaurants_clean,,,False
41,Pickadeli - DHA,DHA,Pasta,,3.9,2000,foodpanda_lahore,restaurants_clean,,,False
42,Mandarin Kitchen - DHA,DHA,Chinese,,4.1,100,foodpanda_lahore,restaurants_clean,,,False
43,Gloria Jean's Coffees- DHA Z Block,DHA,Beverages,,3.7,100,foodpanda_lahore,restaurants_clean,,,False
44,Shahida's Special - DHA,DHA,Pakistani,,3.9,100,foodpanda_lahore,restaurants_clean,,,False
45,Cosa Nostra - DHA Y Block,DHA,Continental,,4.2,500,foodpanda_lahore,restaurants_clean,,,False
46,Third Culture Coffee - Dha,DHA,Cakes & Bakery,,4.5,100,foodpanda_lahore,restaurants_clean,,,False
47,MHK Fast Food - DHA,DHA,Pasta,,4.5,100,foodpanda_lahore,restaurants_clean,,,False
48,Twins Pizza - DHA,DHA,Pasta,,4.0,1000,foodpanda_lahore,restaurants_clean,,,False
49,A Taste Place - DHA,DHA,Fast Food,,3.3,40,foodpanda_lahore,restaurants_clean,,,False
50,Wasabi - DHA,DHA,Japanese,,4.0,1000,foodpanda_lahore,restaurants_clean,,,False
51,Captain Cook's - Q-Block DHA,DHA,Fast Food,,3.9,1000,foodpanda_lahore,restaurants_clean,,,False
52,Burning Brownie (DHA),DHA,Desserts,,2.6,6,foodpanda_lahore,restaurants_clean,,,False
